class,split,feature1,feature2
blue,train,0.34561553171612713,0.07369825822759479
blue,train,0.5959873020277296,0.657611878698098
red,train,0.22764313325214525,0.6249642303178297
red,train,0.20235964501514958,0.8115131446681795
blue,train,0.38040897751205427,0.13828064336383927
red,train,0.252712295320191,0.29789426397527174
blue,train,0.4481596939363005,0.43719808104329805
red,train,0.8105583462340266,0.6045648162012618
red,train,0.09142338691250906,0.43111867894292544
blue,train,0.5034621417081458,0.9358475605750202
blue,train,0.4161433660219884,0.275213798686192
blue,train,0.3916090445271243,0.08349820448943157
blue,train,0.605665331419426,0.12954331355121207
red,train,0.837288085548748,0.9148704097324222
red,train,0.9900959395041025,0.6361966409891525
blue,train,0.6672870750857532,0.9828598158645017
red,train,0.9642115436063018,0.6189803263273245
red,train,0.8038208201562967,0.05430420986565143
red,train,0.10964035644758197,0.6986577933009351
blue,train,0.33150174165079105,0.8850903067856113
red,train,0.944553076059947,0.24626461973224234
blue,train,0.5361438930502336,0.4017361590610411
red,train,0.9530788570319598,0.7152204962145049
red,train,0.9797796842413766,0.43007560103832443
red,train,0.774825007708486,0.2850245432130232
blue,train,0.589703544342851,0.00811711258250325
red,train,0.732673363885114,0.9270005779268194
red,train,0.2824988611425848,0.9751136212573452
red,train,0.18936572931939466,0.4429720254513788
red,train,0.9503338764729192,0.19091635885149805
red,train,0.16297296360447255,0.8642030067939958
red,train,0.9356100844313462,0.07986718491784417
red,train,0.25358022453191176,0.18030874746679315
red,train,0.2861503057819549,0.69978284294865
red,train,0.2804983732087455,0.43677389308961756
blue,train,0.5413919080805966,0.07633737255219952
red,train,0.04575704698229932,0.32315550516678604
red,train,0.034314934831833344,0.46687032938617057
blue,train,0.6277337349417376,0.11242373143107243
red,train,0.26322074533837725,0.7443703547283586
red,train,0.8181842308002127,0.6102414342661193
blue,train,0.4591448213555104,0.856955249479515
blue,train,0.6833444818635307,0.9989981569344584
blue,train,0.4529123542999167,0.2955211344031057
red,train,0.8990538986644387,0.7569959669691422
red,train,0.06501424011951429,0.3744368249356417
red,train,0.24372122326970014,0.7387800738163257
red,train,0.9795775663286701,0.30352553131569493
blue,train,0.38759224927268865,0.5328367204670806
blue,train,0.4693946285028703,0.8411939156259053
blue,train,0.594976352503824,0.02934692672597461
blue,train,0.6104989162980384,0.6308034825943515
red,train,0.20407074830852334,0.9867326434644493
red,train,0.7693738444043681,0.7749915076560379
red,train,0.23062782511289148,0.3544173116506336
blue,train,0.3450427100148832,0.16081501092466877
red,train,0.8648118272580537,0.6939282182629924
blue,train,0.4167009088824096,0.1990864950896637
blue,train,0.4167127552304364,0.6465904576392589
red,train,0.15139919385804435,0.8383053055804662
blue,train,0.3874982095238577,0.5184005490815461
red,train,0.7826911069338744,0.12305925004472251
red,train,0.7832421442061134,0.552572884612539
blue,train,0.4840230420851851,0.013041618309365344
blue,train,0.4965957845164751,0.9281728142711165
red,train,0.8048482637437402,0.9958750573096533
red,train,0.10052353087573151,0.10542182062528982
red,train,0.051894267705496655,0.1564736803542296
red,train,0.09021325326463059,0.48446122784261314
red,train,0.026207239416743633,0.7235330368150009
red,train,0.2914493303746567,0.17160142822937619
blue,train,0.5678484639880721,0.7915141931119878
blue,train,0.5812630678860304,0.3415699838837243
red,train,0.977421593880757,0.562460197531289
red,train,0.18665298602793667,0.6696817940883935
blue,train,0.6116640135599286,0.40230997374236566
red,train,0.11089883223174912,0.7683606864023628
red,train,0.792623511075637,0.6628798995763918
red,train,0.9213892210531193,0.7435648630303108
blue,train,0.37458773198550144,0.22663388512604765
red,train,0.10530186510922412,0.5713583081062465
blue,train,0.6780968613199735,0.5518185782720042
red,train,0.16980872049675522,0.3753390081132212
red,train,0.7666610700174478,0.6943946331776791
red,train,0.05883842129457528,0.06466364450443507
red,train,0.8435727312186022,0.6711168509006049
blue,train,0.4972832799261321,0.27827013782403265
blue,train,0.32810107406828726,0.6304585434737254
blue,train,0.5031713993264586,0.9880599989815733
red,train,0.05216702230268533,0.555438935870964
red,train,0.7870588065903584,0.8727824659834598
blue,train,0.4134445463694495,0.16886939481250918
red,train,0.7155127302875942,0.39636087413370347
