class,split,feature1,feature2
blue,train,0.5794618854690551,0.2809814637023228
red,train,0.3465876319975134,0.6457785367591281
blue,train,0.20333059236020712,0.14189204074494388
red,train,0.9216307857072542,0.7931819875310976
red,train,0.9219908876196279,0.6694569011851154
red,train,0.9705855193881118,0.4614568036515947
blue,train,0.3683785494409123,0.45691672053456955
red,train,0.6652984275218323,0.6708862608428227
red,train,0.7312576254877781,0.4783755868772265
red,train,0.6727515116878122,0.08330971152435174
blue,train,0.4483549454863782,0.02441387932946204
red,train,0.8891695723448501,0.7944116590830438
red,train,0.3375222285938073,0.858626753387626
red,train,0.8330993994405196,0.28823114958323626
red,train,0.3223025887245691,0.846703154635437
blue,train,0.25862457158602103,0.5167314558386491
red,train,0.7007315360770254,0.10059776555127986
blue,train,0.4036773525927837,0.26384465921959865
blue,train,0.23702927919771322,0.4147941672473894
red,train,0.8359764423084121,0.5601650483967774
blue,train,0.186583741639325,0.200101218668996
red,train,0.44584117142502133,0.9443027837525405
red,train,0.7486055278293576,0.8142012547226738
red,train,0.6662378598278939,0.3816323946477068
red,train,0.600649473886588,0.7446821199115793
red,train,0.7206250783885133,0.8235338179399166
blue,train,0.2326443214597086,0.28802696722477905
red,train,0.7497734301141761,0.28128885070274157
red,train,0.8852424645983112,0.2910510193456224
red,train,0.9879160727785654,0.24307237923787128
red,train,0.04288563235465748,0.5455235284844407
blue,train,0.5002743756555834,0.41607307621802614
blue,train,0.14659763517248492,0.2523256406024168
blue,train,0.3102276661006075,0.5365650880956196
red,train,0.5569395038711384,0.5714567645154139
blue,train,0.5789127269971067,0.18195326733770278
blue,train,0.41338667743868973,0.5166252502878594
blue,train,0.5621419494812662,0.3758633548560827
red,train,0.9551077164070744,0.8069566958434303
red,train,0.8819370757415724,0.7164448663607655
red,train,0.7300543214785143,0.2686296438726843
blue,train,0.15289372219488262,0.3716069918775453
red,train,0.9170983555788268,0.844618947211125
red,train,0.8447091928766365,0.7292439095497728
blue,train,0.2613587967626675,0.4367541937742867
red,train,0.1656904263452551,0.9820974282886163
blue,train,0.010300158499464862,0.4085839828385607
red,train,0.8591599066513755,0.8018433366994048
red,train,0.8321075701327081,0.039499083860427886
red,train,0.3197014910006378,0.6747414893948696
red,train,0.9648316820337932,0.859669604598103
blue,train,0.23785684909789295,0.42872589378960035
blue,train,0.12445206079655968,0.0767586397115676
blue,train,0.5212747227127259,0.30664827967850006
blue,train,0.07523052073267811,0.29134725468820666
blue,train,0.1643970323386199,0.25023801384866107
blue,train,0.2632778169348021,0.39748062062786327
blue,train,0.06395274649890104,0.4764311233976315
red,train,0.8298053602629358,0.0003447998289866083
red,train,0.5707320682229619,0.60205232296534
red,train,0.83434935692652,0.2191548970723466
red,train,0.09982173448839982,0.054112065591349734
blue,train,0.3058913297238469,0.4202349496277932
blue,train,0.6080947823738874,0.3593916673972095
blue,train,0.32960487273175765,0.5996057830355361
red,train,0.2671089455720471,0.7765942552828383
red,train,0.13976987500077087,0.5960374331263553
red,train,0.9345379618491532,0.46005594351281454
red,train,0.22453762727069604,0.9436661043019152
blue,train,0.14402233641134987,0.4318071194051648
red,train,0.6674170751892946,0.08478334072988636
red,train,0.31076209924772635,0.6478522133408667
blue,train,0.5120318873826623,0.2648386517396657
red,train,0.32528552421690027,0.9513649571736229
red,train,0.2874476809305787,0.7751077705122048
red,train,0.8038322699327428,0.26300724883516957
blue,train,0.5079486031323656,0.4966051028602112
blue,train,0.28788619488568756,0.19991899104731115
red,train,0.71679271412536,0.5825504897584697
blue,train,0.2693572281144877,0.04908733651871611
red,train,0.6961590324522623,0.20531247336911962
red,train,0.5922314896829515,0.745887747006534
red,train,0.11651860784510815,0.6406646222098143
red,train,0.14107404757936315,0.6656837985935513
red,train,0.09840760552117744,0.7957602108969974
red,train,0.14311000126162698,0.7297575586131175
