class,split,feature1,feature2
blue,train,0.2736220894049465,0.4975014201906448
blue,train,0.10774137778006199,0.21536975794904423
blue,train,0.6406869281318639,0.473322782852428
red,train,0.7023145183914287,0.6090024249785523
blue,train,0.03422545906481744,0.3161694988881455
blue,train,0.859350893560162,0.08885740210106519
blue,train,0.6185816467891462,0.06392828465226541
blue,train,0.256634626166948,0.3059771705170211
blue,train,0.30488714641599424,0.2093803763387192
red,train,0.9339107967423923,0.7049382795577817
blue,train,0.12493951547533377,0.3086111231826151
blue,train,0.27952614701159073,0.46516594553657575
blue,train,0.2714223289759302,0.052343860694766375
blue,train,0.1918426724662915,0.5211131752966957
red,train,0.7531737913997939,0.6661102805714966
blue,train,0.28972680814883234,0.4659380682104558
blue,train,0.0040543781500866904,0.22935904553872744
blue,train,0.5577505528863703,0.44292724647512727
blue,train,0.1771474452267685,0.385933462659635
blue,train,0.5028352699220471,0.21398222388213328
blue,train,0.22889441118139864,0.22645801114210973
blue,train,0.20023531004334616,0.3230813440840471
red,train,0.6367864478246824,0.6773039822147755
red,train,0.8651811813483379,0.5170542050015717
blue,train,0.0163668680012774,0.5334306107873699
blue,train,0.9438125796578001,0.17566229107496922
blue,train,0.763047656954981,0.019365696960245815
blue,train,0.3661346427452188,0.8440680842971359
blue,train,0.6442747713354371,0.4775643687508032
blue,train,0.3538860672140832,0.614557934679565
blue,train,0.3731959733941429,0.48061552676191877
blue,train,0.13875534031612402,0.4876627435021259
blue,train,0.21323505657240427,0.41723199566767943
blue,train,0.2554380474163652,0.9703388862857508
blue,train,0.36827804760778216,0.6605274215233125
blue,train,0.42824241571489374,0.6718162525401483
blue,train,0.33577484195463947,0.2712987967340591
blue,train,0.7302007449716015,0.2595143469935799
red,train,0.870650712229955,0.8842434583958537
blue,train,0.748119548807422,0.2582632295348992
red,train,0.6242198672607936,0.7686108998280883
blue,train,0.6926460579044998,0.40498226171238916
red,train,0.9322351370598384,0.6994110141585619
blue,train,0.2994704042563089,0.2245677760576884
red,train,0.5220046120623202,0.9460641436972214
