class,split,feature1,feature2
red,train,0.6658127537492413,0.9118569792246434
red,train,0.888952007631312,0.5223337403296913
red,train,0.21760605503362385,0.8750417628803175
red,train,0.7784344810878427,0.965554428984388
red,train,0.6119159569154702,0.9024939741703416
red,train,0.4388304768622432,0.9438908117377081
red,train,0.19440237896093837,0.7116325825794907
blue,train,0.5465432916294968,0.12267601612375667
red,train,0.5308179748159931,0.8618783817182504
red,train,0.8959734926361201,0.9056429441513553
blue,train,0.822553715026854,0.3510228996428916
blue,train,0.47717721514001654,0.12318897359380032
blue,train,0.22206026962294234,0.22260959086296994
blue,train,0.8444451024871029,0.44139394602300686
blue,train,0.09100399208260634,0.3935261786297516
red,train,0.24941178376335482,0.7166520804629329
red,train,0.4941214286587584,0.34749849481239736
red,train,0.005785025816625544,0.714246707041843
blue,train,0.3594818629338322,0.038702582725154144
blue,train,0.46721684792443385,0.000587265096374745
red,train,0.6555480528247598,0.6093198946558614
red,train,0.6390938929028477,0.8814713576605192
blue,train,0.5046889260398769,0.16269929458830956
red,train,0.9395314860369749,0.6989772340823857
blue,train,0.3350557797615581,0.035241692694746196
red,train,0.764504703116605,0.8800910579024641
blue,train,0.968479446563431,0.18284002965611645
red,train,0.39601987416078877,0.9089506484491936
red,train,0.9067237004481121,0.7358702579765682
red,train,0.42554124740394306,0.4856147643722115
red,train,0.19110306713649805,0.9880433766514917
red,train,0.05514997821961154,0.8229271726196453
blue,train,0.04438624154800519,0.42079929643642233
blue,train,0.1003636862807028,0.47877485340813397
blue,train,0.050614613292307764,0.41680429453099577
red,train,0.8706869686732502,0.8633201091183799
red,train,0.6796854022932769,0.5247056451274466
red,train,0.7652024946473467,0.9347136110109647
red,train,0.6656870363836985,0.6019097757082287
red,train,0.2872099918818436,0.9933204777534688
red,train,0.875706652626947,0.6354318734891938
red,train,0.19314266864079732,0.8328433804341867
red,train,0.7727116327427878,0.8483630543173827
red,train,0.6132630392510415,0.7053118592661197
red,train,0.8124680772989994,0.88593085539853
red,train,0.12949452850321475,0.7201931133490718
red,train,0.34302293434479003,0.7519655978774062
blue,train,0.12342415584179145,0.055901961029280245
blue,train,0.3072367147074945,0.2585985084348199
red,train,0.2005350792304541,0.9971106129824557
blue,train,0.00394964821544308,0.35056229445012377
blue,train,0.17243681276579503,0.0032074314678540716
blue,train,0.08688001596741546,0.26749976754881555
blue,train,0.28926545504039536,0.358745892361394
red,train,0.8028098949425871,0.8773829672588371
red,train,0.43754447692856346,0.5715857160777352
red,train,0.4420492214840287,0.8046874578083483
blue,train,0.46457248976446797,0.015914471771757865
blue,train,0.25227723181275663,0.446036434128949
red,train,0.26948008937316226,0.9815631435068836
red,train,0.5586921714218591,0.38163300342078277
red,train,0.2944604460874942,0.7923060467294737
blue,train,0.4864404957009879,0.0386684244592026
red,train,0.3698072828235448,0.7319202075424064
blue,train,0.724676282802354,0.1430808020599662
red,train,0.5440960833160557,0.43493954991543804
red,train,0.6475146605148279,0.7503077388557605
red,train,0.329260756170489,0.9534318066899551
red,train,0.8169014451275362,0.8778719325244191
red,train,0.9188160134548968,0.9507400563679893
red,train,0.4668698956105426,0.2719596019851449
red,train,0.24038692595518363,0.7933320252609195
red,train,0.49306646513955865,0.8878594039548728
blue,train,0.5944014943296623,0.3146902948950997
red,train,0.9982954344048317,0.31385721022472124
blue,train,0.18253396542776068,0.2481512995391335
red,train,0.2158994114898839,0.7655009379528773
red,train,0.12583929730799182,0.7308122081856596
red,train,0.6785904589617108,0.9509732176898507
blue,train,0.14622433471217122,0.34708655225700136
blue,train,0.41329602576429025,0.170778493502317
blue,train,0.06069844208341957,0.14118111796113786
red,train,0.971269403464457,0.6569258398464634
red,train,0.1769689667609078,0.6580169391059019
red,train,0.7221452615153194,0.8792841511654824
blue,train,0.4678501686581361,0.17042747972254602
red,train,0.737572526124698,0.7300951665918662
blue,train,0.4806869727071703,0.03290688697924371
red,train,0.377740355649154,0.7065277569078173
blue,train,0.05524898403386658,0.1118755133304229
red,train,0.766663478153165,0.6220320285702668
blue,train,0.08450112678404209,0.44544368320631433
blue,train,0.12865768634626684,0.30354081572720315
red,train,0.44019523275557726,0.847876795301111
red,train,0.5565806193129302,0.42947558911664474
blue,train,0.09746274054031889,0.24454608784910792
red,train,0.5862785688211949,0.69871802022837
red,train,0.02902268587852841,0.9581834583340311
red,train,0.19431584162397786,0.6474341814671348
blue,train,0.2891933847149053,0.009025256316022912
blue,train,0.3785915848428568,0.07296984764704784
red,train,0.13702154797555388,0.852192774529407
red,train,0.15483078174864373,0.8433228754826958
blue,train,0.6519736086408723,0.438126846742803
red,train,0.5272114873031453,0.5437427123504979
blue,train,0.09243061106526262,0.06318642833180399
blue,train,0.043968214822279195,0.4391500092678414
red,train,0.3788692201325988,0.41823680796791163
blue,train,0.9238778898876447,0.06549344648805855
red,train,0.5964831311363878,0.48135167675904666
blue,train,0.06377074782003178,0.48405441000029703
blue,train,0.6541272101938658,0.007233648929259706
red,train,0.46035637854918476,0.5782111723308536
red,train,0.3816365677905377,0.31129196543826176
blue,train,0.07026694873874362,0.3527321023253942
blue,train,0.991126537378501,0.05732733810713908
red,train,0.6729670428163836,0.8996159352105921
blue,train,0.7283228991607127,0.5066313925437176
blue,train,0.8766026256746271,0.00718480725459425
blue,train,0.14091993826324234,0.19972484802701096
blue,train,0.6077491919857053,0.11187416627215763
red,train,0.963276927770321,0.4580775049390604
blue,train,0.019235400846594808,0.17125994666746525
red,train,0.5062572685690406,0.7366302173078861
red,train,0.10315284646612932,0.7413170400216637
blue,train,0.6296772554541664,0.24879371055618837
red,train,0.7073892073992115,0.7058307535107421
blue,train,0.7825151949399254,0.47140787031137543
red,train,0.19209954558789677,0.6694022256013408
blue,train,0.8428190122855209,0.5493361114805853
blue,train,0.797083814955843,0.3543328445000885
red,train,0.6261618284096035,0.6417713246994852
red,train,0.44840743109301817,0.2278948032455409
blue,train,0.33715927006081603,0.27521178953479886
red,train,0.46282358857389505,0.6187421820345701
